Region,Staion,Frequency,Link
christian,Hope Fm,93.3,https://a5.asurahosting.com:7530/radio.mp3
christian,MBCI,89.5,https://uk4-vn.mixstream.net/:8078/listen.mp3
christian,Waumini,88.3,
christian,Truth Fm,90.7,
christian,Radio Amani,88.3,
christian,Sayare Fm,98.7,
christian,Radio Maria,88.1,
christian,Mwangaza wa Neno,89.3,
christian,Imani Radio,88.8,
christian,Jesus is Lord Radio,105.3,
christian,Bibilia Husema,96.7,
christian,Lulu FM,97.1,
christian,Kubamba Radio,91.6,
christian,Pearl Radio,96.9,
christian,Kigoco Fm,98.6,
christian,Radio Injili,103.7,
christian,Radio kimuri,100.6,
christian,Radio Neema,Online Radio,
christian,Radio shahidi,91.7,
christian,Upendo FM,89.4,
christian,Mitume FM,89.7,
christian,Radio Osutua,89,
christian,Radio safina,90.7,
christian,Radio kisima,89.7,
christian,Ng'uono FM,108.1,
christian,Praise Radio,Online radio,
christian,Radio Tumaini,92.9,
christian,Radio Ashe,106.5,
christian,Alpha Radio,102.7,
christian,Mt zion Radio,Online radio,
christian,Trinity FM,91.5,
christian,Bloom Radio,Online radio,
christian,Radio Arise,89.5,
Luo,Ramogi FM,107.1 FM,
Luo,Mayienga FM,93.5 FM,
Luo,Radio Rameny,88.3 FM,
Luo,Jowi FM,98.1 FM,
Luo,Radio Mikayi,103.8 FM,
Luo,Osiepe FM,93.6 FM,
Luo,Radio Lake Victoria,92.1 FM,
Luo,Lwasi Radio,101.2 FM,
Luo,Lakeside Radio,88.8 FM,
Luo,Dala FM,98.8 FM,
Luo,Nyanam FM,Online Radio,
Luo,Sky FM,106.1 FM,
Kamba,Mutongoi FM,103.3 FM,
Kamba,Musyi FM,102.2 FM,
Kamba,Mbaitu FM,92.5 FM,
Kamba,Athiani FM,99.2 FM,
Kamba,KBC Mwatu FM,93.1 FM,
Kamba,Ene FM,99.9 FM,
Kamba,County FM,90.3 FM,
Kamba,Akamba FM,100.8 FM,
Kamba,Mwaki FM,Online Radio,
Kamba,Wikwatyio FM,105.3 FM,
Kamba,Radio Thome FM,88.1 FM,
Kamba,Sang'u FM,93.4 FM,
Kikuyu,Inooro FM,88.9 FM,
Kikuyu,Kameme FM,101.1 FM,
Kikuyu,Gukena FM,92.2 FM,
Kikuyu,Njata FM,92.7 FM,
Kikuyu,KBC Coro FM,99.5 FM,
Kikuyu,Kayu FM,91.0 FM,
Kikuyu,Kihooto FM,107.4 FM,
Kikuyu,Riri FM,93.7 FM,
Kikuyu,Urumwe FM,104.1 FM,
Kikuyu,Gitugi FM,99.0 FM,
Kikuyu,Muoroto FM,98.1 FM,
Kikuyu,Murata FM,Online Radio,
Luhya,Mulembe FM,97.9 FM,
Luhya,Suhve FM,89.6 FM,
Luhya,Vuuka FM,95.4 FM,
Luhya,KBC Ingo FM,100.5 FM,
Luhya,West FM,94.9 FM,
Luhya,Lubao FM,102.2 FM,
Luhya,Khendo FM,107.9 FM,
Luhya,Mumbo FM,90.2 FM,
Luhya,Tandaza FM,103.7 FM,
Luhya,Radio Isukuti,101.7 FM,
Luhya,Nyota FM,107.3 FM,
Meru,Menu FM,88.3 FM,
Meru,Munga FM,88.9 FM,
Meru,KBC Mwago FM,97.5 FM,
Meru,Getu FM,87.6 FM,
Meru,Tuliza FM,92.4 FM,
Meru,Radio Milma,90.7 FM,
Meru,Weru FM,96.4 FM,
Kisii,Egesa FM,94.6 FM,
Kisii,Radio Vuna,102.0 FM,
Kisii,Inka FM,93.7 FM,
Kisii,KBC Minto FM,101.7 FM,
Kisii,Kisii FM,94.1 FM,
Kisii,Seito FM,100.3 FM,
Kalenjin,Kass FM,89.1 FM,
Kalenjin,Emoo FM,91.8 FM,
Kalenjin,Chamgei FM,90.4 FM,
Kalenjin,Berur FM,90.0 FM,
Kalenjin,Mayian FM,100.7 FM,
Kalenjin,KBC Kitwek FM,98.0 FM,
Kalenjin,Lokoi FM,94.3 FM,
Kalenjin,Taach FM,95.1 FM,
Kalenjin,Nosim FM,90.5 FM,
Kalenjin,Sidai FM,103.5 FM,
Kalenjin,Kalya FM,106.5 FM,
Kalenjin,North Rift Radio,104.9 FM,
Kalenjin,Etyet FM,106.8 FM,
Kalenjin,Ereto FM,92.1 FM,
Kalenjin,BK Radio,99.3 FM,
Kalenjin,Waldai FM,95.9 FM,
Kalenjin,Nenyon FM,104.3 FM,
Kalenjin,Tulwoob Koony Radio,97.8 FM,
Kalenjin,Congasis FM,107.7 FM,
Kalenjin,Kokwo Radio,100.1 FM,
Kalenjin,Konyon FM,Online,
Kalenjin,Radio Safari,87.9 FM,
Kalenjin,Serian FM,88.9 FM,
Kalenjin,Chichi Radio,100.7 FM,
Coast,KBC Pwani FM,103.1 FM,
Coast,Bahari FM,94.2 FM,
Coast,Baraka FM,95.5 FM,
Coast,Sauri Ya Pwani FM,94.2 FM,
Coast,Mo Radio,88.2 FM,
Coast,Mvita FM,106.2 FM,
Coast,O01 FM,Online,
Coast,Blue Radio,Online,
Islamic,Ifitin FM,101.9 FM,
Islamic,Igra FM,95.0 FM,
Islamic,Radio Rahma,91.5 FM,
Islamic,Radio Midnimo,90.2 FM,
Islamic,Radio Salaam,90.7 FM,
