Station,Frequency,Show,Type,Genre,Description,Link,Time
Capital FM,98.4,Quiet strom,Music mix,Gospel,,https://atunwadigital.streamguys1.com/capitalfm,5am-6am weekdays
Capital FM,98.4,Radio active,Music mix,Contemporary,,https://atunwadigital.streamguys1.com/capitalfm,2pm-3pm weekdays
Capital FM,98.4,The Cypher,Music mix,Hiphop,,https://atunwadigital.streamguys1.com/capitalfm,5pm-7pm Saturdays
Capital FM,98.4,OneLove,Music mix,Roots&Reggae,,https://atunwadigital.streamguys1.com/capitalfm,5pm-7pm Sundays
Classic 105,105.2,Classic Mid Morning,Music mix,Afro-pop,,https://atunwadigital.streamguys1.com/classic105,10am-3pm weekdays
Kiss FM,100.3,Kiss Drive,Music mix,Pop,,https://atunwadigital.streamguys1.com/kiss100fm,3pm-7pm weekdays
Kiss FM,100.3,Maloko,Music mix,Local music,,https://atunwadigital.streamguys1.com/kiss100fm,7pm-12am weekdays
Kiss FM,100.3,Late Night Kiss,Music Mix,Pop,,https://kiss100fm-atunwadigital.streamguys1.com/kiss100fm,12am-6am weekdays
Kiss FM,100.3,Mid Morning Kiss,Music Mix,Pop,,https://atunwadigital.streamguys1.com/kiss100fm,10am-3pm weekdays
Radio Citizen,106.7,Citizen Express,Music Mix,Zilizopendwa,,https://radiocitizen-atunwadigital.streamguys1.com/radiocitizen,12am-4am weekdays
Radio Citizen,106.7,Pambazuka,Music Mix,Gospel,,https://radiocitizen-atunwadigital.streamguys1.com/radiocitizen,4am-6am weekdays
Radio Citizen,106.7,Mambo Mseto,Music Mix,East Africa Pop,,https://radiocitizen-atunwadigital.streamguys1.com/radiocitizen,1pm-4pm weekdays
Classic 105,105.2,Classic Overnight,Music Mix,African pop,,https://atunwadigital.streamguys1.com/classic105,12am-6am weekdays
Classic 105,105.2,Classic Drive,Music Mix,Urban/Pop,,https://atunwadigital.streamguys1.com/classic105,3pm-7pm weekdays
Homeboyz,103.5,Homeboyz Overnights,Music Mix,Contemporary,,https://atunwadigital.streamguys1.com/homeboyzradio,12am-6am weekdays
Homeboyz,103.5,Jam session,Music Mix,Urban/HipHop,,https://atunwadigital.streamguys1.com/homeboyzradio,10am-3pm weekdays
Homeboyz,103.5,HBR Mtaani,Music Mix,Local music/Urban,,https://atunwadigital.streamguys1.com/homeboyzradio,7pm-12am weekdays
NRG,97.1,NRG in the mix,Music Mix,Contemporary,,https://uksouth.streaming.broadcast.radio/nrg,11pm-7am weekdays
NRG,97.1,AM Request Show,Music Mix,Hiphop/Urban,,https://uksouth.streaming.broadcast.radio/nrg,11am-2pm weekdays
NRG,97.1,Kalonje On NRG,Music Mix,Urban Mix,,https://uksouth.streaming.broadcast.radio/nrg,2pm-4pm weekdays
NRG,97.1,NRG transit,Music Mix,Contemporary/urban,,https://uksouth.streaming.broadcast.radio/nrg,4pm-8pm weekdays
Nation FM,96.3,Request Hour,Music Mix,Contemporary,,https://cdn.pixabay.com/download/audio/2023/10/27/audio_8ab11e07a4.mp3,12pm-1pm weekdays
Nation FM,96.3,NFM Drive,Music Mix,Contemporary,,https://stream.radiojar.com/3by7s8eg65quv,3pm-7pm weekdays
Milele FM,104.8,Milele Midmorning,Music Mix,EA local,,https://milelefm-atunwadigital.streamguys1.com/milelefm,10am-2pm weekdays
Smooth Fm,105.5,Smooth Morning,Music Mix,Pop/Classic/Rock,,https://atunwadigital.streamguys1.com/smoothfm,All day
Family FM,103.9,,Music Mix,Christian/Worship,,https://uksoutha.streaming.broadcast.radio/familyradio,All day
Truth FM,90.7,Gospel Switch,Music Mix,Christian/Worship,,https://truthfm-atunwadigital.streamguys1.com/truthfm,1pm-4pm weekdays
Radio 47,103,Baze 47,Music Mix,Urban Local,,https://streaming.shoutcast.com/radio-47,1pm-3pm weekdays
Ghetto Radio,89.5,Jahmrock doba,Music Mix,Reggae,,https://stream.zeno.fm/eghcv7h647zuv.aac,8pm-11pm weekdays
Ghetto Radio,89.5,Unwind,Music Mix,Pop/Urban,,https://stream.zeno.fm/eghcv7h647zuv.aac,7pm-8pm weekdays
Radio 47,103,Breakfast 47,Talk,Talk show,,https://streaming.shoutcast.com/radio-47,
Radio 47,103,Rhumba Fix,Music Mix,Rhumba,,https://streaming.shoutcast.com/radio-47,10pm-12am Weekdays
Radio 47,103,Maskani 47,Talk,Talk show,,https://streaming.shoutcast.com/radio-47,
Classic 105,105.2,Maina and King'angi'i,Talk,Talk show,,https://atunwadigital.streamguys1.com/classic105,
Radio 47,103,Mchikicho,Talk,Talk show,,https://streaming.shoutcast.com/radio-47,
Radio 47,103,Radio 47 Jumapili,Music Mix,Christian,,https://streaming.shoutcast.com/radio-47,5am-10am sundays
Radio 47,103,Gospel Automation,Music Mix,Christian,,https://streaming.shoutcast.com/radio-47,10am-1pm sundays
Radio 47,103,Kali za kale,Music Mix,old school,,https://streaming.shoutcast.com/radio-47,8pm-12am sundays
Radio 47,103,Sabato Yako,Talk,Christian,,https://streaming.shoutcast.com/radio-47,4am-6am saturdays
Radio 47,103,Bahari ya elimu,Talk,Educative,,https://streaming.shoutcast.com/radio-47,7am-11am saturdays
Radio 47,103,Sato Vibe,Music mix,Urban,,https://streaming.shoutcast.com/radio-47,11am-2pm saturdays
Radio 47,103,Dread Beat Reloaded,Music mix,Urban/pop/local,,https://streaming.shoutcast.com/radio-47,2pm-4pm saturdays
Radio 47,103,Mikiki ya Spoti,Talk,sports,,https://streaming.shoutcast.com/radio-47,4pm-8pm saturdays
Radio 47,103,Burdan satoo,Musicmix/Talk,Bongo/local/afro,,https://streaming.shoutcast.com/radio-47,8pm-12am saturdays
Radio 47,103,Nuru 47,Musicmix/Talk,Talk show,,https://streaming.shoutcast.com/radio-47,
Radio 47,103,Chemba,Talk,Talk show,,https://streaming.shoutcast.com/radio-47,7pm-10pm weekdays
Radio Jambo,97.5,Gidi na Ghost,Talk,Talk show,,https://atunwadigital.streamguys1.com/radiojambo,6am-10am weekdays
HBR,103.5,The Boyz club,Talk,Musicmix/Talk,,https://atunwadigital.streamguys1.com/homeboyzradio,3pm-7pm Weekdays
Classic 105,105.2,Classic Love,Talk,Talk show,,https://atunwadigital.streamguys1.com/classic105,
Radio Citizen,106.7,Michezo na Burudani,Talk/Music Mix,Musicmix/Talk,,https://radiocitizen-atunwadigital.streamguys1.com/radiocitizen,4pm-9pm Saturdays
Radio Citizen,106.7,Roga Roga,Talk/Music Mix,Rhumba,,https://radiocitizen-atunwadigital.streamguys1.com/radiocitizen,10am-1pm saturdays
Radio Citizen,106.7,Sabato Takatifu,Talk/Music Mix,Christian,,https://radiocitizen-atunwadigital.streamguys1.com/radiocitizen,12am-6am saturdays
